id,Quién,Dirección,Coordenadas,Ciudad ,País,Qué reciben,Contacto
30,Sociedad civil,"Burger Latin, centro comercial Palma Center","10.224717688400451, -67.33465213568259",La Victoria,Venezuela,"Agua, baterías, alimentos para mascotas, insumos médicos, ropa en buen estado, pañales, palaes y picos",https://www.instagram.com/p/DaAk8GWOLGH/?igsh=MXB2NDFyNzlheG54Nw%3D%3D
31,Sociedad civil,"Bodega 33, centro comercial El Solidario","10.22831845416021, -67.32110572216507",La Victoria,Venezuela,"Agua, baterías, alimentos para mascotas, insumos médicos, ropa en buen estado, pañales, palaes y picos",https://www.instagram.com/p/DaAk8GWOLGH/?igsh=MXB2NDFyNzlheG54Nw%3D%3D
32,Sociedad civil,CEI María de las Mercedes Calle Dr Vicentelli c/c Rosa María Paredes #7 Sector Centro,"10.229109779151717, -67.33124932214683",La Victoria,Venezuela,"Insumos médicos, agua potable, alimentos no perecederos, artículos de higiene persona, pañales, fórmulas infantiles",Dr Jhander Delgago 4243573790 Kevin Campos 4124224314
33,Sociedad civil,"Parroquia Nuestra Señora del Carmen, calle Colón ",,La Victoria,Venezuela,"Insumos médicos, agua potable, alimentos no perecederos, artículos de higiene persona, pañales, fórmulas infantiles",Dr Jhander Delgago 4243573790 Kevin Campos 4124224314
34,Sociedad civil,Playa Mansa ,"10.192602657113932, -64.69663557340279","Lecheria, Anzoategui ",Venezuela,"Alimentos no perecederos, agua, medicamentos y ropa en buen estado",desde las 10 am hasta las 6 pm aprox. 
35,Un Nuevo Tiempo,Sede regional Un Nuevo Tiempo,"10.681654258077481, -71.6039479098895",Maracaibo,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",
36,Vente Zulia,"Calle 70 con av 15A y 15B N15A-39, calle paralela a Nebabrica","10.67025557783764, -71.6223117420334",Maracaibo,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",
37,Comando Con Venezuela,Avenida 19 de Abril Centro Comercial La Capilla Piso 1 Local 21,"10.253030921263193, -67.60026666376618",Maracay,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",https://www.instagram.com/p/DZ_kBlyIVRI/?hl=es
38,Voluntad Popular,"Paseo de la Libertidad, Avenida Las Delecias, frente al Centro Médico Maracay","10.25853436615874, -67.59117843530922",Maracay,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",
39,Voluntad Popular,"Calle 6, Antigua Bermúdez, casa N11, antiguo restaurante El Oeste",,Maturín,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",
40,Sociedad civil,Colegio de Médicos,"8.586259264425863, -71.15960062217263",Mérida,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencería",
41,Animales Sin Nombre,CC EL Rodeo / Contactarlos,"8.589886045747033, -71.16104365102335",Mérida,Venezuela,"alimento para los animalitos, medicinas, antidiarreicos",https://www.instagram.com/_asn?igsh=MWUxbTI2OWx4ZzJlYQ==
42,Rotaract Táchira,"Brave Community Fitness, al lado del hotel Manuel","7.8152288254915385, -72.44407457017164",San Antonio,Venezuela,"Medicinas, agua, comida no perecedera, comida de animales, powerbanks",573508741816
43,Sociedad civil,Madeco Av Cuatricentenaria,"7.780711845076686, -72.23494919145843",San Cristóbal,Venezuela,"Comida, ropa, agua, insumos médicos",
44,Rotaract Táchira,"Revista Rotaria, frente a la Cruz Roja","7.778149815060326, -72.21834532214335",San Cristóbal,Venezuela,"Medicinas, agua, comida no perecedera, comida de animales, powerbanks",0414-7121207
45,Rotaract Táchira,Edificio Rotario Dr Augusto Peña Sosa Piso 2 Avenida 19 de abril,"7.740808416396275, -72.2338067999405",San Cristóbal,Venezuela,"Medicinas, agua, comida no perecedera, comida de animales, powerbanks",
46,Sociedad civil,"UCAT, sede vieja","7.773386362240922, -72.22598840052166",Táchira,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencería",
47,Sociedad civil,ULA,"7.791620752658194, -72.21324335305661",Táchira,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencería",
48,Sociedad civil,UNET. Edificio A sede de Ing Civil,"7.795471605099425, -72.19950130125851",Táchira,Venezuela,"Ropa, medicamentos e insumos, agua, alimentos no perecederos, lencería",
49,Rotaract Táchira,Centro Médico Rotario César Dario González,"7.817954818361031, -72.22025679331186",Tariba,Venezuela,"Medicinas, agua, comida no perecedera, comida de animales, powerbanks",2763949051
50,Sociedad civil,Municipio Trujillo Capital. Centro Comercial Plaza Marina. Local 30,"9.365772336174697, -70.43571359331084",Trujillo,Venezuela,"Insumos médicos, alimentos no perecederos, ropa en buen estado",Luis Pulgar (04126840791) 
51,Sociedad civil,"Municipio Sucre: Urb. El Trompillo 2, parroquia Valmore Rodriguez, casa #39 (Casa Delgado)","9.434088434940184, -70.77917405934332",Trujillo,Venezuela,"Insumos médicos, alimentos no perecederos, ropa en buen estado",Gabriela Delgado (04121644063)
52,Sociedad civil,"Municipio Pampanito: Pampanito I, Urb. Villa Hermosa, 4ta calle, Casa num 377","9.408538680249487, -70.49243827086197",Trujillo,Venezuela,"Insumos médicos, alimentos no perecederos, ropa en buen estado",Laudelino Vásquez (04129843407)
53,Gobierno de Venezuela,Casa de la Mujer,"8.000095787770984, -62.39374026263498",Upata,Venezuela,"Alimentos no perecederos, agua, medicamentos y ropa en buen estado",
54,Jóvenes por el clima,Av Bolívar frente al Multicentro,"10.213446815289203, -68.00967073050681",Valencia,Venezuela,Centro de acopio,https://www.instagram.com/p/DaAB8S-CAiB/?igsh=Njl4YXk4N3drM2tm
55,Comando Con Venezuela,"Avenida Monseñor Adams, El Viñedo. Edificio Talislandia, mezzanina.","10.2138690146587, -68.01353392215293",Valencia,Venezuela,"Agua, alimentos no perecederos, insumos médicos, ropa y abrigos.",https://www.instagram.com/p/DZ_kBlyIVRI/?hl=es
56,Sociedad civil,"Av. Principal la floresta, sector Santa Elena, Casa G-11 (Casa Prada","9.312972214840618, -70.6214113012007",Valera,Venezuela,"Insumos médicos, alimentos no perecederos, ropa en buen estado",Edgar Prada (04247137359)
57,Cáritas Venezuela,"Sector centro, calle Páez entre Brasil y Perú, frente a la primera casa de Punto Fijo","11.695056265431477, -70.21081476004105",Punto Fijo,Venezuela,"Agua potable, pañales adultos y niños, productos de higiene personal, alimentos no pereceeros, medicamentos esenciales",
58,COLEGIO CRISTO REY ALTAMIRA,"Colegio Cristo Rey Altamira. 7ma Avenida, entre 6ta y 7ma Transversal. https://maps.app.goo.gl/WwtukMpkrjwn1tP2A?g_st=ic","10.505756272455024, -66.8490452644854",Caracas,Venezuela,"Enlatados, frutos secos, harina pan, queso, jamón, pan, primeros auxilios, herramientas y protección (cinceles, mandarrias, guantes para escombros, gatos de botella, piquetas, cascos de seguridad palas)",
59,UCAB Guayana,Planta alta casa del estudiante Dirección de Desarrollo Estudiantil UCAB Guayana ,"8.297484945811043, -62.71152284539116",Puerto Ordaz,Venezuela,"Cajas, bolsas negras, botellas vacías de cinco litros, alimentos no perecederos, agua potable, gasas, insumos médicos, cascos, guantes de ferretería, artículos de higiene personal, calzado y ropa en buen estado",4249147305
60,Teatro de la Ópera,Teatro de la Ópera,"10.24904112000907, -67.5954549356609",Maracay,Venezuela,"Agua potable y alimentos no perecederos, medicamentos e insumos de primeros auxilios, productos de higiene personal y pañales, ropa y cobijas en buen estado",
61,Fe y Alegría,"Fe y Alegría ""Padre Felipe Salvador Gilij"" ","8.60508895402056, -70.19567902615306",Barinas,Venezuela,,
62,RELEVECA,"Ciudad Ojeda, centro comercial Reycall, frente a la E/S La Tropicana","10.189255858679953, -71.31196093571084","Ciudad Ojeda, Estado Zulia ",Venezuela,"Artículos de higiene personal, ropa, alimentos no perecederos, alimento para mascotas, insumos médico",04122581233 - 04246302640 - https://instagram.com/releveca_ca/
63,Colegio de Médicos,Sede del Colegio de Médicos,"10.688634014026924, -71.63455177799231",Maracaibo,Venezuela,Material Médico y primeros auxilios y medicamentos esenciales,https://www.instagram.com/comezu_2021
64,Expresos Occidente,Principales sedes ,,,Venezuela,"Alimentos no perecederos, agua potable embotellada, artículos de higiene, insumos médicos, ropa limpia y en buen estado",
65,Gobierno de Venezuela,"Carretera H, frente al Hotel Costa Sol (antiguo El Remanso) ","10.401187648315185, -71.45450165956838",Cabimas ,Venezuela,"Alimentos no perecederos, productos de higiene personal, insumos médicos básicos, productos de limpieza, ropa y calzado en buen estado, agua potable envasada",
66,Gobierno de Venezuela,"Avenida 32 con Carretera H, frente a las oficinas de Corpoelec","10.40836306759094, -71.44202462491764",Cabimas ,Venezuela,"Alimentos no perecederos, productos de higiene personal, insumos médicos básicos, productos de limpieza, ropa y calzado en buen estado, agua potable envasada",
67,Gobierno de Venezuela,"Carretera H, Centro Comercial Borjas, estación radial Xtrema 98.9FM","10.398614928926342, -71.45816446449045",Cabimas ,Venezuela,"Alimentos no perecederos, productos de higiene personal, insumos médicos básicos, productos de limpieza, ropa y calzado en buen estado, agua potable envasada",
68,Sociedad civil,"CC Santa Eulalia, urb Boyacá, exq Brill ","10.155816104962542, -64.6798758867721",Anzoategui,Venezuela,"Alimentos no perecederos, ropa en buenas condiciones, medicamentos de primera necesidad, artículos de higiene",Brill Panadería https://www.instagram.com/stories/exqbrill/3927402934296267999/?hl=es
69,Caritas de Venezuela ,"Parroquia Santo Domingo de Guzmán, las Cocuizas.","9.756459713059137, -63.15551045813666",Monagas,Venezuela,"Alimentos no perecederos, agua potable, pañales para adultos y niños",
70,Caritas de Venezuela ,Catedral nuestra Sra del Carmen.,"9.745238701240737, -63.1722641509784",Monagas,Venezuela,"Alimentos no perecederos, agua potable, pañales para adultos y niños",
71,Sociedad civil,"Chef Margaro G42F+5MW Diagonal Residencias Florida Suites, Avenida Los Jardines, Caracas","10.500475471243746, -66.87580186447677",Caracas,Venezuela,"Agua embotellada, alimentos no perecederos, insumos médicos, pañales, toallas santarias",
72,Sociedad civil,iglesia Nuestra Señora de Guadalupe ,"10.588186053193382, -71.63505926000926","Sierra Maestra, San Francisco estado Zulia",Venezuela,,
73,G3 Logística,"Av. Principal de Los Cortijos de Lourdes, Edificio Maploca, Los Cortijos de Lourdes","10.480898975241852, -66.82789809332296",Caracas,Venezuela,Donaciones (centro de acopio),"Horario: 9:00 AM a 12:00 PM y 2:00 PM a 3:30 PM, lunes a viernes"
74,"Cáritas Venezuela, Sede Montalbán","Av. Teherán, a 200 mts de la UCAB, frente a la Urbanización Juan Pablo II, Sede de la Conferencia Episcopal Venezolana, Montalbán",,Caracas,Venezuela,Donaciones (centro de acopio),
75,Centro de Acopio Bloque Histórico Popular (CEPROI - Intelecto Urbano),"Parroquia Sucre de Caracas, Catia, sector Pérez Bonalde, entre 7ma Av. y Calle Colombia, al lado del Hospital Pediátrico Dr. Elías Toro, local Intelecto Urbano","10.505415549863448, -66.94750437504939",Caracas,Venezuela,Alimentos para la elaboración de raciones de comida,Inyerber Gutiérrez +58 412-3799207
76,Alcaldía de Chacao - Sede de Desarrollo Social,Calle Los Ángeles (lateral al Centro Comercial Sambil Chacao),"10.489799773820788, -66.85520797984778",Caracas,Venezuela,"Hidratación, sábanas, alimentos no perecederos",0424 128 59 89 / 0424 204 22 53 / 0424 126 84 42 | IG @gustavoduquesaez @alcaldiachacao | X @duquegustavos @Chacao
77,G3 Logística,"Calle La Pedrera, Fundo Los Marines, Lote S/N, Zona Industrial San Diego, Edo. Carabobo","10.191881058390617, -67.97473483567705",Valencia,Venezuela,Donaciones (centro de acopio),"Horario: 9:00 AM a 12:00 PM y 2:00 PM a 3:30 PM, lunes a viernes"
78,G3 Logística,"Zona Industrial II, Av. Principal con Calle 6, Locales 110-111-112, Municipio Iribarren, Distrito Iribarren, Edo. Lara","10.079700528728534, -69.3725748021845",Barquisimeto,Venezuela,Donaciones (centro de acopio),"Horario: 9:00 AM a 12:00 PM y 2:00 PM a 3:30 PM, lunes a viernes"
79,Colegio Mater Salvatoris,"Cerro Quintero, Caracas","10.485289473555275, -66.86608646448032",Caracas,Venezuela,,
81,Alcaldía de Baruta,Concha Acústica de Bello Monte,,Caracas,Venezuela,Donaciones (centro de acopio),
82,G3 Logística,"Zona Industrial II, Av. Principal con Calle 6, Locales 110-111-112, Municipio Iribarren, Distrito Iribarren, Edo. Lara",,Barquisimeto,Venezuela,"agua, alimentos no perecederos, ropa en buenas condiciones, medicamentos, insumos médicos, artículos de higiene.",
83,CC Hipermercado Multimall,"Avenida El Placer, con Av. Libertador,",,Cabudare,Venezuela,"agua, alimentos no perecederos, pañales, medicamentos, insumos médicos.",
#REF!,Sociedad Civil,"Av. Principal de Playa Grande, La Guaira (Oficina de la DIP - PNB)",,La Guaira,Venezuela,"Agua, alimentos no perecederos, enlatados, productos de higiene personal, pañalaes, toallas sanitarias, insumos médicos, lencería, comida para animales.",
#REF!,Movimiento Estudiantil VEN UNETE (UNET),"Avenida Universidad, sector Paramillo, Edificio A. Sede de Civil",,San Cristóbal,Venezuela,"Alimentos no perecederos, artículos de primeros auxilios, agua potable, mantas y cobijas, linternas y cargadores.",
#REF!,Centro de Estudiantes de Veterinaria UCV Maracay,"Av. 19 de Abril, Maracay 2103, Aragua, Venezuela",,Maracay,Venezuela,"Se está recibiendo insumos
-No perecederos, enlatados
-Agua
-Articulos de primeros auxilios, medicamentos
-Ropa, zapatos
-Articulos de higiene personal",
#REF!,Torre Promotora Paraiso,"M9MM+R4V, C. 60, Maracaibo 4002, Zulia,",,Maracaibo,Venezuela,"Gasas, vendas elásticas y de algodón, adhesivo, alcoho, agua oxigenada, jeringas, guantes de látex, tapabocas, catéteres, equipos de infusión, linternas con pilas, alimentos no perecederos, agua mineral embotellada, paracetamol, ibuprofeno, antitérmicos, antibióticos, antisépticos, cremas para quemaduras, papel higiénico, jabón, toallas húmedas, pañales (infantiles y adultos), toallas sanitarias, sábanas y cobijas limpias y en buen estado",@torrepromotoraparaisomcbo
#REF!,CENTRO SIRIO VENEZOLANO PUERTO LA CRUZ,"Calle Rivera, Puerto La Cruz 6023, Anzoátegui, Venezuela","10.202450879923433, -64.6633888521095",Puerto La Cruz,Venezuela,"-COMIDA
-MEDICAMENTOS
-INSUMOS MÉDICOS",
#REF!,PROMO 17 U.E.P FLOR DE MARIA VASQUEZ,CONJUNTO RESIDENCIAL EL ARAGUANEY,,Maracaibo,Venezuela,"1. Agua embotellada
 2. Alimentos no perecederos 
 3. Nutrición infantil
 4. Insumos Médicos y Primeros Auxilios
 5. Medicamentos básicos vigentes 
 6. Material de curación
7 higiene y Cuidado Personal
8 ropa en buen estado
9 linternas y guantes
10 comida para animales",
#REF!,Koko Sushi,Terrazas del Ingenio Palo Alto,,Guarenas,Venezuela,"Alimentos no perecederos, agua potable, insumos de primeros auxilios (gasas, alcohol, analgésicos), productos de higiene personal, ropa limpia y sábanas en buen estado.",@kokosushigyg / 0424-165-9844 / 0424-254-7678
#REF!,Club Italo de Valencia,"Avenida 91, Valencia",,Valencia,Venezuela,"Agua potable, alimentos no perecederos, insumos médicos, ropa y abrigos.",@sofisbylaslepores
#REF!,Aaura Movement,Urbanización la Viña (frente a Q'arepas),,Valencia,Venezuela,"Agua potable, alimentos no perecederos, insumos medicos, ropa y abrigos.",@aaura.movement
#REF!,Rafas Casual Food,Urb. El Viñedo (Frente a la plaza de las esculturas),,Valencia,Venezuela,"Agua potable, alimentos no perecederos, insumos medicos, ropa y abrigos.",@rafascasualfood
#REF!,Notitarde,Avenida Boyacá entre Navas Spinola y Flores,,Valencia,Venezuela,"Abiertos las 24 horas. Alimentos no perecederos, agua potable, ropa en buen estado, sábanas, mantas, cobijas, productos de higiene personal, linternas, material de curas, suturas e inmovilización, bombillos recargables, baterías.",@diarionotitarde
#REF!,Inversiones guatiquesos,"Urb la rosa, frente al colegio Belagua.",,Guatire,Venezuela,"Agua potable, ropa, medicina, insumos médicos, enlatados.",4122006625
#REF!,Futuros Vinotinto,"Calle Acueducto, Polideportivo Cumbres de Curumo",,Caracas,Venezuela,"Agua embotellada, alimentos no perecederos, artículos de higiene personal, mantas y ropa limpia, kits de primeros auxilios.",0412-555-7885 / @futurosvinotinto
#REF!,Universidad Metropolitana,Capellania UNIMET (Urbanización Terrazas del Ávila),,Caracas,Venezuela,"Junio 26, 27 y 28 de 8 am a 6 pm. Alimentos no perecederos, ropa y abrigo, insumos médicos, agua potable.",@capellaniaunimet
#REF!,Vecinos,"Bloque 5, Urbanización San Martin, Avenida San Martin",,Caracas,Venezuela,"Ropa, Medicamentos, Pañales, Alimentos",
,Otro Enfoque,"Av Rooselvet con calle Bermúdez, Los Símbolos ",,Caracas,Venezuela,"Agua potable, insumos medicos (gasas, alcohol, diclofenac, ibuprofeno), alimentos no perecederos, artículos de bebés, linternas, baterías y cargadores ",0424-2231527
